"","X","Aa_Mutation","Count","Group","Aa_parent","Ref_Count","Speed","For_Mut_Spec_Versus","p.value"
"5",5,"S_TC>F",288,1,"S_TC",83.6666666666667,3.44223107569721,1.46590860756263,"0.0222728668408707"
"19",19,"L_CT>F",141,1,"L_CT",82.6666666666667,1.70564516129032,1.46840914365282,"0.0423297678658713"
"29",29,"C>F",109,1,"C",103.666666666667,1.05144694533762,1.51594157982412,"0.0390610863106035"
"41",41,"R_AG>I",39,1,"R_AG",49.3333333333333,0.79054054054054,2.07046332046332,"0.0131886176439876"
"43",43,"H>Y",181,1,"H",54.3333333333333,3.33128834355828,2.05547578645086,"0.00017971007523293"
